,ict_fvg,ict_order_block,ict_liquidity_sweep,ict_mss
2023-11-30,-0.0026980137336627408,-0.0003333333333332966,0.002913965814699937,-0.0009141341882077381
2023-12-01,0.0076540238710214314,-1.800651647432261e-05,-0.005344193188213997,0.0019091661470118648
2023-12-04,-0.007087518467708942,-0.00257452280825865,-0.004359576155803624,-0.005610353848973237
2023-12-05,-0.002650749258934826,-0.0001666666666666483,0.0,-0.0001666666666666483
2023-12-06,-0.00896737663048952,-0.004862518026830798,0.0,0.0
2023-12-07,-0.007693240876146534,-0.0001666666666666483,0.0,0.0
2023-12-08,0.0032970579486362173,0.0,-0.001228375555253236,5.1773917960629134e-05
2023-12-11,0.002378721131316208,0.0,-0.0023999263012780547,0.0015666477976785664
2023-12-12,-0.001377591116424104,0.0,-0.000655369512322368,0.0009281246508612284
2023-12-13,-0.010011960597890335,0.010050148710128326,0.0,0.00657391490888215
2023-12-14,0.002978311021039959,0.008008422373128488,0.0,0.006209694512149699
2023-12-15,-0.002481685913960252,-0.001360312574839373,0.0,0.0
2023-12-18,-0.0016431793221023394,-0.0001666666666666483,0.0,0.0
2023-12-19,0.0044801361841304566,0.0,-0.0019161366843566396,0.0013978255341826618
2023-12-20,-0.013189962118335452,0.0,0.0011342249688526262,0.0008928467719750977
2023-12-21,-0.01145205943192551,0.0013244037366666461,-0.009237791946771545,-0.0031223345389951307
2023-12-22,0.0037270410354388606,-0.0014021647755843025,0.0006006277342391897,-0.002586100059464691
2023-12-26,0.00617049834038208,-0.0001666666666666483,-0.005001562943367177,0.002905310546628348
2023-12-27,0.000687468209938702,0.0,-0.0008118973173851796,0.0004941329326402233
2023-12-28,-0.0015196842434335167,0.0,-0.0007543219357767361,0.00010653812049721267
2023-12-29,-0.0029472754573538484,0.0,-0.0027579390901039114,0.0
2024-01-02,-0.0019479867367633297,-0.00011818867453172732,0.005114836062640071,-0.00011818867453172732
2024-01-03,0.015379582968672478,2.2941470862569702e-05,-0.007062795595965787,0.002167663748486648
2024-01-04,0.0003485741336710646,-0.0007836221569460511,0.00043595069344792847,-0.0006169610268456083
2024-01-05,-0.0021967341378447136,0.0,-0.0012508432692459603,-0.0006698915559500973
2024-01-08,0.00038083818845913164,0.0,0.0060598835764797965,-0.0037167516765209685
2024-01-09,-0.01530237207268248,-0.0014736808040581861,-0.0041041454597262605,-0.0014736808040581861
2024-01-10,0.0016881575240426105,-0.0001666666666666483,0.0005846284072890118,-0.0001666666666666483
2024-01-11,-0.007206292373232115,0.0,0.0007267298520345911,-0.0038244271388168105
2024-01-12,-0.001366322947849108,0.0,0.0020787291748203263,-0.0011994561815706906
2024-01-16,0.0040992042967951114,0.0,0.0029387089425243484,0.0014793298427675516
2024-01-17,-0.00044134096865311445,-0.0004817736623483615,0.0018089759301642694,-0.0006483600334045159
2024-01-18,-0.0026329184490646584,0.0011829177681317304,0.004191574825531008,-0.0005155824045789403
2024-01-19,0.013994995217092354,0.004528740918058993,-0.002771999412868986,0.006844770058122895
2024-01-22,0.008182005697473294,0.0,0.0,0.0011874130407463213
2024-01-23,-0.0047619819867316115,0.0,-0.0010726044458400086,-0.002206253515243062
2024-01-24,-0.0008881283923114491,-0.0035369490479548737,0.0027411150088501035,-0.0037030262231135813
2024-01-25,-0.013979782348518932,-0.002438973541825762,-0.0011816622936434706,-0.0003333333333332966
2024-01-26,0.0004371261617870381,-0.0003333333333332966,0.0,0.0
2024-01-29,0.00029581611034168454,5.7409470981761856e-05,0.0,0.00040275559794333837
2024-01-30,-0.0033317997346996586,-0.00018663527645723654,-0.0006413273215616355,-0.0023999067290473297
2024-01-31,0.017784355805284813,0.0015432733388942577,-0.0005776089797263628,0.0015432733388942577
2024-02-01,-0.011541492637099138,-0.0027910232964821757,0.00044793943434418004,-0.0027910232964821757
2024-02-02,-0.004142597179505936,-0.0001666666666666483,-0.003006643228393835,0.0007657572414736524
2024-02-05,-0.016915489729007804,-0.0026184048730150122,-0.008849715408689951,-0.000822910675727373
2024-02-06,0.0003686118220140866,-0.0001666666666666483,0.003490762826524829,-0.0016381218594592184
2024-02-07,-0.006003930668692425,-0.0007128549034732812,-0.004625212118852806,-0.0007128549034732812
2024-02-08,0.004821626327601747,-0.0003333333333332966,0.0,-0.0003333333333332966
2024-02-09,0.007049516278065271,0.0011106405694505384,0.0,-0.00030859794363991
2024-02-12,0.004424886115068638,4.360734944630629e-05,0.0,0.005602503492675215
2024-02-13,-0.00033873583744503666,-0.004364970333382123,6.182264042586816e-05,-0.0015552957314545202
2024-02-14,-0.007621339481507894,0.0,-0.0017637414311292288,0.0028587591496138653
2024-02-15,0.011875866435360871,0.0,0.0,-0.0003948022004885976
2024-02-16,-0.003266136497700245,0.0,0.002742088413335786,-0.0024172257366638084
2024-02-20,0.008569287191185992,-0.002110889289315354,0.00520031509256369,-0.002110889289315354
2024-02-21,0.0035486693482358334,-0.0001666666666666483,-0.0037277515711305886,0.0013111657616613481
2024-02-22,-0.004899950540718345,0.0027690015817829483,0.009626972960383062,0.002601873414852296
2024-02-23,-0.0025490096688061126,-0.0003333333333332966,-7.539265877554158e-05,-0.0003333333333332966
2024-02-26,0.0022058691868911406,0.0,0.0,0.0
2024-02-27,0.003454382377554799,0.0,0.0,0.0
2024-02-28,-0.005259203072357499,0.0,0.0,0.0
2024-02-29,-0.0062785973203141054,-0.002245618019141138,-0.00033558220740970146,-0.002245618019141138
2024-03-01,0.004964422420143055,0.004229748684377643,-0.003989477257547058,0.004229748684377643
2024-03-04,-0.002170671923279466,-0.0004999999999999449,0.0,-0.0004999999999999449
2024-03-05,0.0005136771396190287,0.0,0.002369912916212691,-0.004339570677970417
2024-03-06,-0.010265853960740201,0.0,-0.002430060243671872,-0.0007963758456734915
2024-03-07,-0.002729836918329509,0.0,0.0039047114867092336,0.0028058427860078172
2024-03-08,0.0063186025957306935,-0.008978922818337898,0.005127592908076517,-0.010234820550121149
2024-03-11,0.004071107197226587,-0.0003333333333332966,0.0032150572842428726,-0.0003333333333332966
2024-03-12,-0.006830364929036548,0.0,-0.0001666666666666483,0.0
2024-03-13,-0.004622924957192964,0.0,0.0,0.0
2024-03-14,0.0092898737099405,0.0005196039797565888,0.0,0.0005196039797565888
2024-03-15,-0.0011695075768830554,0.0006217416032487932,0.00011488714095952979,0.0006217416032487932
2024-03-18,-0.01434048792742404,-0.0001666666666666483,0.0028382264088835374,-0.0001666666666666483
2024-03-19,-0.0116960711149795,0.0,0.0015243726180709238,-0.007199310510747625
2024-03-20,-0.0014698925871337032,0.003063513953178054,-0.0035512748825119456,0.007616570545241785
2024-03-21,0.006522593543589306,0.0021664509326124737,-0.002464659270308922,0.00841835201730845
2024-03-22,-0.004324256708869156,-0.0004999999999999449,0.0,0.0
2024-03-25,-0.006192444423819055,0.0,0.0,0.0
2024-03-26,-0.002980491137796637,0.0,0.0,0.0
2024-03-27,0.0008794428678402522,-0.001763822948787963,0.010403703138713638,-0.003786202867196997
2024-03-28,0.0009225734826994181,0.0,0.00037224555665948955,7.181235480802073e-05
2024-04-01,0.0022214399447204602,0.0,0.00038198019717650133,-0.0009688305843660316
2024-04-02,0.011014068963340895,-0.00292675230005357,0.009711124849906883,-0.00292675230005357
2024-04-03,-0.0028568239496136183,-0.0004999999999999449,9.15543188726442e-05,-0.0004999999999999449
2024-04-04,-0.030126165093124047,0.000701165233389478,0.007323076355875813,0.000701165233389478
2024-04-05,-0.010973535210248464,-0.007121896771565606,0.0027018824046762813,-0.007121896771565606
2024-04-08,-0.0026332244131166416,0.0,0.0025537040946042033,0.0
2024-04-09,-0.0032520361818775267,0.0,0.0,0.0
2024-04-10,0.004585078750624749,0.0017434681055024104,-0.0004893107158794319,0.0017434681055024104
2024-04-11,0.0022721806407581813,-0.0001666666666666483,0.002522068701446445,-0.0027506483682351313
2024-04-12,-0.005339886254681625,0.0020638312549743354,-0.0046614847228790834,-0.004812483887819408
2024-04-15,-0.004831653811131598,0.0022502083486146685,0.000975097756708676,0.0005540142508821955
2024-04-16,0.0021119375909490756,-0.000845998931339409,0.0,-0.0006826054797127723
2024-04-17,0.002321483846972283,0.0,0.0,0.0
2024-04-18,-0.01399410116480404,0.0,0.0,0.0
2024-04-19,0.008649932291611817,0.003602164957201559,0.0,0.0
2024-04-22,-0.002565791569680509,-0.0001666666666666483,0.0,0.0
2024-04-23,0.014636351819901083,0.0,0.0,0.0
2024-04-24,-0.0008715852372734867,0.0,0.0,0.0
2024-04-25,0.0050771902305664085,0.0,0.0,0.0
2024-04-26,0.006343847433309957,0.0006033155808746749,0.0,0.0006033155808746749
2024-04-29,0.004649272979290409,-0.0003333333333332966,0.0,-0.0005142883904504236
2024-04-30,0.006854226681414,0.0,0.0068079426221698824,-0.0001666666666666483
2024-05-01,-0.012599676167540985,0.0,0.0021565636977614044,0.0
2024-05-02,0.003758273307146842,0.0,0.0,0.0
2024-05-03,0.013989420679751063,0.0009348913378595114,-0.0012254089259722267,0.0006653453677607502
2024-05-06,0.011388837710848643,-0.000494925214309494,-0.002128682700974105,0.001332248112028367
2024-05-07,0.000230507816917358,-0.0001666666666666483,0.0,0.0
2024-05-08,0.0016447182565477725,0.0,0.0,0.0
2024-05-09,0.003571524112617075,0.0,0.0,0.0
2024-05-10,-0.0025698716726929582,0.0,-0.0003798534031966838,-0.00010628417483993235
2024-05-13,0.0006272456730960219,-0.002643306303254267,-0.0017869411912464495,-0.002072364994314846
2024-05-14,-0.002898485730797651,-0.00015504996233095536,-0.005429307858031307,0.0005364738460647001
