Date,tsmom_12m,tsmom_ensemble,xsec_momentum,green_line_200d,str_reversal_5d,low_vol_xsec,turn_of_month,bench_6040,spy
2019-02-28,0.000825313984332117,-0.0007040697225042779,0.000617255049674144,-0.0016341967015870156,0.0016887628814629264,-0.0010028347527006281,-0.0022412040499295263,-0.002152385981767124,-0.0018627613293901168
2019-03-01,0.0017862515758922312,-0.0017182297596360315,0.0024490344304077217,-0.003581536273011678,0.0004971552161233952,-0.0034410037923683938,-0.003413857222717137,0.0024336738457241044,0.00624364259041954
2019-03-04,0.0010317512008618428,0.0006124433323656689,0.0003487218268506141,0.0003720133861559757,0.0018967905800134578,0.0008806125084626973,0.0009433203411356439,-0.0009465616335733837,-0.003637175613551258
2019-03-05,-0.00042851136468892036,0.0003426587182609197,-0.0005206219607159045,0.0005540883343947811,0.00012993414350937176,0.00019399775305903956,0.0013843166968130944,-0.0005851833657260385,-0.001360220453269001
2019-03-06,0.0004220256633494446,0.00012511092563846177,0.0001686147781969209,-0.000327149545915679,-0.0003587563403382171,0.0021341056993259815,-0.0014469171061361663,-0.0025180869492084975,-0.00605691889890736
2019-03-07,0.0028780598203602898,0.0019609204155023735,0.0020035711193346754,0.0002904270418943364,-0.0004692643817922165,0.004196985122643724,-0.00046714438933789315,-0.0036763304070527303,-0.008365422085590102
2019-03-08,-0.0012393681649108838,0.0006922423581624917,-0.0015834471406258035,-0.0002819415483021919,0.0027306806403631255,0.002390275148183951,0.0,-0.0006260949742614262,-0.0019997447134408874
2019-03-11,0.0010054842411978708,0.00042760358791907224,0.0007077485367949243,0.0024859518690968697,0.0005029080022829853,-0.003908766888691238,0.0,0.008394991104676518,0.014500880502269053
2019-03-12,0.0003714705426336673,0.0011768534608197709,-0.00036079203655429526,0.001509126660075988,-0.002003684960649491,0.0009997097978845636,0.0,0.0033710160468663816,0.003771161825484759
2019-03-13,-0.00169764584195209,-0.0004456539348435568,-0.001264068300114349,8.190000009509026e-05,0.0008504648499477605,-0.0019462432545721239,0.0,0.0038190256894611533,0.006619060952385958
2019-03-14,0.0011476617858602724,-0.0007606274721257908,0.0016733365819971862,-0.000810225834639369,0.0015419656384741051,-0.0017978311237205132,0.0,-0.0009556679184211658,-0.0006395594660560944
2019-03-15,5.8698626950645655e-05,0.0008769954191449632,-0.0009031559047333799,0.002697023571068159,-0.00048603413515458803,0.0005247152508676173,0.0,0.004224342945754378,0.004940541872575865
2019-03-18,-0.0014244857095136074,-0.0007139807648313594,-0.0012874973888035036,-0.0002208302919617297,0.001279066398357786,-0.001349029616315657,0.0,0.0016427395341837678,0.0036260670429404396
2019-03-19,-0.000853771632669055,-0.00030905159792317394,-0.0008994956202933496,-0.00027484955766508747,-0.0005756633592804644,-9.039359571095641e-05,0.0,-0.00011806309825566078,0.0002478177452063246
2019-03-20,0.0005698468312084966,0.0018739983345196784,-0.0012336201465725238,0.0015977168145952132,-0.00520192502976976,0.002575382411930318,0.0,0.000978295617007574,-0.0030098788032478785
2019-03-21,0.0034476228963765615,0.001882737389394948,0.0029489105543706994,0.002954739225292476,-0.0009599930686933208,-0.0008537384208227849,0.0,0.006587324155760488,0.011294641734285182
2019-03-22,0.00290555936984044,0.0019377689366685822,0.0012760402635166774,-0.0006168369658572064,0.0033819584324518734,0.007878947886531722,0.0,-0.008592112093118097,-0.019246238543710215
2019-03-25,-0.0003971726335550555,0.000851087654560345,-0.0009370020375119116,0.0009266947441389559,-0.0020368981719863814,0.0011000164391462674,0.0,0.0005642499598243812,-0.0007520788744469487
2019-03-26,0.0012771765429229164,0.0005437591636257065,0.0011649040355919409,0.0012722927589164574,0.0010176554157040054,-0.001823889770378625,0.0,0.004134906526473347,0.007454209434663017
2019-03-27,0.0024792809044094184,0.000723482599173413,0.0021203470465865184,0.0010274698427286469,-0.0017782001471483807,0.0019374520142263828,-0.0017222264372241016,-0.0019734213610601787,-0.005229230385402239
2019-03-28,0.003481414574460944,0.000731957753560524,0.0031452135856188308,0.0018524035940335874,0.000873950327430961,-0.0015321516638116494,0.0004544312960240183,0.0023118226799615726,0.003790480361511417
2019-03-29,-0.0007942091590808822,1.1249320042197252e-05,-0.0005928091660572908,0.0004540512365987071,0.001239757548236483,-0.0008706830316478177,0.002113645578065166,0.0031467650923828303,0.006305428553711634
2019-04-01,-0.0031850612028663542,-0.0023274976682817086,-0.0021921854860397594,-0.0013746791018169047,0.006482641846675515,-0.005913137028305105,0.0011170826237148685,0.004364995084011491,0.011859118025590032
2019-04-02,0.0004735330188470515,0.0009569953633664673,0.0005166800896087857,0.0009284649240930766,-0.0010754105850693985,0.0007399758564351385,0.001968044701435985,0.0009750367296283535,0.0004901606633769262
2019-04-03,-0.0017709128036070278,-0.001499453882306421,-0.0021838510710852814,-0.0009890922376660579,-0.0023229670757614557,-0.003009149042917358,-0.00014801900476871347,-0.0003025895643067767,0.0015732090316877834
2019-04-04,0.0008470045912611922,0.001076131106101982,0.00045671271212306425,0.0010473999663688166,0.00022527198133252474,0.0005465477174305163,0.0014182897235095093,0.002008852915073378,0.002653510698888306
2019-04-05,0.0011561021133901503,0.0013320393712292571,0.00041004318332114257,0.001153629770692185,-0.002613260866389261,-0.0006607492900618261,-0.0005604008011562386,0.003093510817780354,0.00484036390661724
2019-04-08,-0.0029203297697202946,-0.0017865401125863336,-0.002788687866020977,-0.002140382166061312,8.864582926617454e-05,-0.0024917103221233244,0.0,-0.00018569746474614854,0.0007623333638957508
2019-04-09,-0.00011166319463133884,0.00038904349148419535,0.0008619746539214083,0.0007068299767907763,0.0018522847397770003,0.0023869494905292476,0.0,-0.002354763566083862,-0.0051249241422784975
2019-04-10,0.0017524182349289556,0.0022387425618185922,0.0006692091093920494,0.001870180671957074,-0.0041092302726369045,0.0002902735314114424,0.0,0.002992108378225788,0.003411085513685519
2019-04-11,0.002270471836683436,-0.00032213122407629547,0.002371740887471276,-0.0004171295395303312,0.0027670744887976174,0.0008783486530188206,0.0,-0.0010722589293702845,-0.00027768486926127434
2019-04-12,-0.0012552034159882632,-0.0009344440171177631,-0.001544276454765207,-0.0003416709456028256,-0.0037621999358535964,-0.002740670275662371,0.0,0.002206247052387633,0.006766103184163708
2019-04-15,2.8163139495763236e-05,-0.0004209454648760843,0.00028586489718362724,-0.0003227948542037243,0.0017082899467732629,8.957100395583136e-05,0.0,0.00013923224432332848,-0.0006547976688079382
2019-04-16,-0.00205886001662435,-0.0025726250448949366,-0.0022464295928119014,-0.0027795640592112925,0.001202344087202495,-0.003792564100868903,0.0,-0.0009729568726167149,0.0006552267097299502
2019-04-17,-0.0009833282641154018,-0.0009683640367553135,-0.00025504474453242796,3.1901033451556824e-05,0.0011429300228088073,-0.0005304483457077298,0.0,-0.0013921553928619712,-0.00244688782065805
