Datetime,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,VNQ,UUP
2026-03-27 11:30:00-04:00,638.8900146484375,566.6749877929688,244.6999969482422,94.2300033569336,55.369998931884766,85.95500183105469,94.7051010131836,107.7300033569336,78.74500274658203,415.92999267578125,64.00499725341797,29.05500030517578,122.38999938964844,87.5999984741211,27.834999084472656
2026-03-27 12:30:00-04:00,636.6199951171875,564.1900024414062,243.77999877929688,93.875,55.119998931884766,85.81999969482422,94.63999938964844,107.63999938964844,78.65499877929688,412.7900085449219,63.05500030517578,28.975000381469727,122.9800033569336,87.52999877929688,27.879899978637695
2026-03-27 13:30:00-04:00,635.77001953125,563.7550048828125,243.38999938964844,93.75,55.09000015258789,85.625,94.61000061035156,107.55999755859375,78.66500091552734,414.239990234375,63.510101318359375,29.059999465942383,124.02999877929688,87.16500091552734,27.869699478149414
2026-03-27 14:30:00-04:00,634.8590087890625,563.02001953125,243.38999938964844,93.69000244140625,55.1150016784668,85.62000274658203,94.61499786376953,107.57499694824219,78.66000366210938,415.489990234375,63.70000076293945,29.13129997253418,124.44000244140625,86.99500274658203,27.86009979248047
2026-03-27 15:30:00-04:00,634.0800170898438,562.5,243.0800018310547,93.80999755859375,55.189998626708984,85.65499877929688,94.625,107.62000274658203,78.73999786376953,414.6899108886719,63.43000030517578,29.09000015258789,124.16999816894531,86.98999786376953,27.850000381469727
2026-03-30 09:30:00-04:00,635.8599853515625,562.9249877929688,241.94000244140625,94.19999694824219,54.93000030517578,86.61009979248047,95.2249984741211,108.34500122070312,78.93499755859375,415.05999755859375,63.724998474121094,29.31999969482422,126.85990142822266,87.94000244140625,27.979999542236328
2026-03-30 10:30:00-04:00,636.4600219726562,563.0,242.10000610351562,94.48999786376953,55.095001220703125,86.76719665527344,95.30500030517578,108.43499755859375,79.0,416.260009765625,64.2699966430664,29.290000915527344,127.47000122070312,88.31050109863281,27.980100631713867
2026-03-30 11:30:00-04:00,635.260009765625,561.6624755859375,241.39999389648438,94.44999694824219,54.92499923706055,86.75499725341797,95.33999633789062,108.47000122070312,79.01499938964844,416.7149963378906,64.00990295410156,29.280000686645508,128.52999877929688,88.1500015258789,27.979999542236328
2026-03-30 12:30:00-04:00,633.4000244140625,559.7698974609375,239.9499969482422,94.16999816894531,54.67499923706055,86.67500305175781,95.25,108.37000274658203,78.89009857177734,415.8500061035156,63.849998474121094,29.274999618530273,128.82000732421875,87.7750015258789,27.969999313354492
2026-03-30 13:30:00-04:00,632.280029296875,558.7319946289062,239.7899932861328,94.12999725341797,54.66999816894531,86.67500305175781,95.2249984741211,108.31500244140625,78.84500122070312,414.54998779296875,63.55500030517578,29.184999465942383,128.32000732421875,87.61499786376953,27.964500427246094
